"homeTeam.href","homeTeam.text","awayTeam.href","awayTeam.text","homeScore","awayScore"
"http://www.basketball-reference.com/teams/DAL/2015.html","Dallas Mavericks","http://www.basketball-reference.com/teams/POR/2015.html","Portland Trail Blazers","75","94"
"http://www.basketball-reference.com/teams/CLE/2015.html","Cleveland Cavaliers","http://www.basketball-reference.com/teams/ATL/2015.html","Atlanta Hawks","97","106"
"http://www.basketball-reference.com/teams/PHO/2015.html","Phoenix Suns","http://www.basketball-reference.com/teams/BRK/2015.html","Brooklyn Nets","108","100"
"http://www.basketball-reference.com/teams/TOR/2015.html","Toronto Raptors","http://www.basketball-reference.com/teams/CHO/2015.html","Charlotte Hornets","94","103"
"http://www.basketball-reference.com/teams/DAL/2015.html","Dallas Mavericks","http://www.basketball-reference.com/teams/GSW/2015.html","Golden State Warriors","89","104"
"http://www.basketball-reference.com/teams/DET/2015.html","Detroit Pistons","http://www.basketball-reference.com/teams/HOU/2015.html","Houston Rockets","93","103"
"http://www.basketball-reference.com/teams/CHI/2015.html","Chicago Bulls","http://www.basketball-reference.com/teams/IND/2015.html","Indiana Pacers","84","98"
"http://www.basketball-reference.com/teams/LAL/2015.html","Los Angeles Lakers","http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","90","97"
"http://www.basketball-reference.com/teams/BOS/2015.html","Boston Celtics","http://www.basketball-reference.com/teams/NOP/2015.html","New Orleans Pelicans","104","98"
"http://www.basketball-reference.com/teams/SAC/2015.html","Sacramento Kings","http://www.basketball-reference.com/teams/ORL/2015.html","Orlando Magic","114","119"
"http://www.basketball-reference.com/teams/UTA/2015.html","Utah Jazz","http://www.basketball-reference.com/teams/PHI/2015.html","Philadelphia 76ers","89","83"
"http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","http://www.basketball-reference.com/teams/SAS/2015.html","San Antonio Spurs","111","120"
"http://www.basketball-reference.com/teams/MIA/2015.html","Miami Heat","http://www.basketball-reference.com/teams/WAS/2015.html","Washington Wizards","97","99"
"http://www.basketball-reference.com/teams/PHO/2015.html","Phoenix Suns","http://www.basketball-reference.com/teams/CLE/2015.html","Cleveland Cavaliers","79","89"
"http://www.basketball-reference.com/teams/HOU/2015.html","Houston Rockets","http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","114","100"
"http://www.basketball-reference.com/teams/SAC/2015.html","Sacramento Kings","http://www.basketball-reference.com/teams/MIA/2015.html","Miami Heat","109","114"
"http://www.basketball-reference.com/teams/WAS/2015.html","Washington Wizards","http://www.basketball-reference.com/teams/MIL/2015.html","Milwaukee Bucks","85","91"
